//New HSK (2013)/Level 1
爱[愛]	ài
反馈[反饋]	fǎnkuì
反面[反面]	fǎnmiàn
反射[反射]	fǎnshè
反思[反思]	fǎnsī
反问[反問]	fǎnwèn
反之[反之]	fǎnzhī
泛滥[泛濫]	fànlàn
范畴[範疇]	fànchóu
贩卖[販賣]	fànmài
方位[方位]	fāngwèi
方言[方言]	fāngyán
方圆[方圓]	fāngyuán
方针[方針]	fāngzhēn
防守[防守]	fángshǒu
防御[防禦]	fángyù
防止[防止]	fángzhǐ
防治[防治]	fángzhì
访问[訪問]	fǎngwèn
纺织[紡織]	fǎngzhī
放大[放大]	fàngdà
放射[放射]	fàngshè
飞禽走兽[飛禽走獸]	fēiqínzǒushòu
飞翔[飛翔]	fēixiáng
飞跃[飛躍]	fēiyuè
非法[非法]	fēifǎ
肥沃[肥沃]	féiwò
诽谤[誹謗]	fěibàng
肺[肺]	fèi
废除[廢除]	fèichú
废寝忘食[廢寢忘食]	fèiqǐnwàngshí
废墟[廢墟]	fèixū
沸腾[沸騰]	fèiténg
分辨[分辨]	fēnbiàn
分寸[分寸]	fēncun
分红[分紅]	fēn hóng
分解[分解]	fēnjiě
分裂[分裂]	fēnliè
分泌[分泌]	fēnmì
分明[分明]	fēnmíng
分歧[分歧]	fēnqí
分散[分散]	fēnsàn
吩咐[吩咐]	fēnfù
坟墓[墳墓]	fénmù
粉末[粉末]	fěnmò
粉色[粉色]	fěnsè
粉碎[粉碎]	fěnsuì
分量[分量]	fènliàng
愤怒[憤怒]	fènnù
丰满[豐滿]	fēngmǎn
丰盛[豐盛]	fēngshèng
丰收[豐收]	fēngshōu
风暴[風暴]	fēngbào
风度[風度]	fēngdù
风光[風光]	fēngguāng
风气[風氣]	fēngqì
风趣[風趣]	fēngqù
风土人情[風土人情]	fēngtǔrénqíng
风味[風味]	fēngwèi
封闭[封閉]	fēngbì
封建[封建]	fēngjiàn
封锁[封鎖]	fēngsuǒ
锋利[鋒利]	fēnglì
逢[逢]	féng
奉献[奉獻]	fèngxiàn
否决[否決]	fǒujué
夫妇[夫婦]	fūfù
夫人[夫人]	fūrén
敷衍[敷衍]	fūyǎn
服从[服從]	fúcóng
服气[服氣]	fúqì
俘虏[俘虜]	fúlǔ
符号[符號]	fúhào
幅度[幅度]	fúdù
辐射[輻射]	fúshè
福利[福利]	fúlì
福气[福氣]	fúqì
抚摸[撫摸]	fǔmō
抚养[撫養]	fǔyǎng
俯视[俯視]	fǔshì
辅助[輔助]	fǔzhù
腐败[腐敗]	fǔbài
腐烂[腐爛]	fǔlàn
腐蚀[腐蝕]	fǔshí
腐朽[腐朽]	fǔxiǔ
负担[負擔]	fùdān
附和[附和]	fùhè
附件[附件]	fùjiàn
附属[附屬]	fùshǔ
复活[複活]	fùhuó
复兴[複興]	fùxīng
副[副]	fù
赋予[賦予]	fùyǔ
富裕[富裕]	fùyù
腹泻[腹瀉]	fùxiè
覆盖[覆蓋]	fùgài
改良[改良]	gǎiliáng
钙[鈣]	gài
盖章[蓋章]	gàizhāng
干旱[幹旱]	gānhàn
干扰[幹擾]	gānrǎo
干涉[幹涉]	gānshè
干预[幹預]	gānyù
尴尬[尴尬]	gāngà
感慨[感慨]	gǎnkǎi
感染[感染]	gǎnrǎn
干劲[幹勁]	gànjìn
纲领[綱領]	gānglǐng
岗位[崗位]	gǎngwèi
港口[港口]	gǎngkǒu
港湾[港灣]	gǎngwān
杠杆[杠杆]	gànggǎn
高超[高超]	gāochāo
高潮[高潮]	gāocháo
高峰[高峰]	gāofēng
高明[高明]	gāomíng
高尚[高尚]	gāoshàng
高涨[高漲]	gāozhǎng
稿件[稿件]	gǎojiàn
告辞[告辭]	gàocí
告诫[告誡]	gàojiè
疙瘩[疙瘩]	gēda
鸽子[鴿子]	gēzi
搁[擱]	gē
割[割]	gē
歌颂[歌頌]	gēsòng
革命[革命]	gémìng
格局[格局]	géjú
格式[格式]	géshì
隔阂[隔閡]	géhé
隔离[隔離]	gélí
个体[個體]	gètǐ
各抒己见[各抒己見]	gèshūjǐjiàn
根深蒂固[根深蒂固]	gēn shēn dì gù
根源[根源]	gēnyuán
跟前[跟前]	gēnqián
跟随[跟隨]	gēnsuí
跟踪[跟蹤]	gēnzōng
更新[更新]	gēngxīn
更正[更正]	gēngzhèng
耕地[耕地]	gēngdì
工艺品[工藝品]	gōngyìpǐn
公安局[公安局]	gōngānjú
公道[公道]	gōngdao
公告[公告]	gōnggào
公关[公關]	gōngguān
公民[公民]	gōngmín
公然[公然]	gōngrán
公认[公認]	gōngrèn
公式[公式]	gōngshì
公务[公務]	gōngwù
公正[公正]	gōngzhèng
公证[公證]	gōngzhèng
功劳[功勞]	gōngláo
功效[功效]	gōngxiào
攻击[攻擊]	gōngjī
攻克[攻克]	gōngkè
供不应求[供不應求]	gōng bú yìng qiú
供给[供給]	gōngjǐ
宫殿[宮殿]	gōngdiàn
恭敬[恭敬]	gōngjìng
巩固[鞏固]	gǒnggù
共和国[共和國]	gònghéguó
共计[共計]	gòngjì
共鸣[共鳴]	gòngmíng
勾结[勾結]	gōujié
钩子[鈎子]	gōuzi
构思[構思]	gòusī
孤独[孤獨]	gūdú
孤立[孤立]	gūlì
姑且[姑且]	gūqiě
辜负[辜負]	gūfù
古董[古董]	gǔdǒng
古怪[古怪]	gǔguài
股东[股東]	gǔdōng
股份[股份]	gǔfèn
骨干[骨幹]	gǔgàn
鼓动[鼓動]	gǔdòng
固然[固然]	gùrán
固体[固體]	gùtǐ
固有[固有]	gùyǒu
固执[固執]	gùzhí
故乡[故鄉]	gùxiāng
故障[故障]	gùzhàng
顾虑[顧慮]	gùlǜ
顾问[顧問]	gùwèn
雇佣[雇傭]	gùyōng
拐杖[拐杖]	guǎizhàng
关怀[關懷]	guānhuái
关照[關照]	guānzhào
观光[觀光]	guānguāng
官方[官方]	guānfāng
管辖[管轄]	guǎnxiá
贯彻[貫徹]	guànchè
惯例[慣例]	guànlì
灌溉[灌溉]	guàngài
罐[罐]	guàn
光彩[光彩]	guāngcǎi
光辉[光輝]	guānghuī
光芒[光芒]	guāngmáng
光荣[光榮]	guāngróng
广阔[廣闊]	guǎngkuò
归根到底[歸根到底]	guī gēn dào dǐ
归还[歸還]	guīhuán
规范[規範]	guīfàn
规格[規格]	guīgé
规划[規劃]	guīhuà
规章[規章]	guīzhāng
轨道[軌道]	guǐdào
贵族[貴族]	guìzú
跪[跪]	guì
棍棒[棍棒]	gùnbàng
国防[國防]	guófáng
国务院[國務院]	guówùyuàn
果断[果斷]	guǒduàn
过度[過度]	guòdù
过渡[過渡]	guòdù
过奖[過獎]	guòjiǎng
过滤[過濾]	guòlǜ
过失[過失]	guòshī
过问[過問]	guòwèn
过瘾[過瘾]	guòyǐn
过于[過于]	guòyú
嗨[嗨]	hāi
海拔[海拔]	hǎibá
海滨[海濱]	hǎibīn
含糊[含糊]	hánhu
含义[含義]	hányì
寒暄[寒暄]	hánxuān
罕见[罕見]	hǎnjiàn
捍卫[捍衛]	hànwèi
行列[行列]	hángliè
航空[航空]	hángkōng
航天[航天]	hángtiān
航行[航行]	hángxíng
毫米[毫米]	háomǐ
毫无[毫無]	háo wú
豪迈[豪邁]	háomài
号召[號召]	hàozhào
耗费[耗費]	hàofèi
呵[呵]	hē
合并[合並]	hébìng
合成[合成]	héchéng
合伙[合夥]	héhuǒ
合算[合算]	hésuàn
和蔼[和藹]	hé'ǎi
和解[和解]	héjiě
和睦[和睦]	hémù
和气[和氣]	héqi
和谐[和諧]	héxié
嘿[嘿]	hēi
痕迹[痕迹]	hénjì
狠心[狠心]	hěn xīn
恨不得[恨不得]	hèn bu de
横[橫]	héng
哼[哼]	hēng
轰动[轟動]	hōngdòng
烘[烘]	hōng
宏观[宏觀]	hóngguān
宏伟[宏偉]	hóngwěi
洪水[洪水]	hóngshuǐ
哄[哄]	hǒng
喉咙[喉嚨]	hóulóng
吼[吼]	hǒu
后代[後代]	hòudài
后顾之忧[後顧之憂]	hòugùzhīyōu
后勤[後勤]	hòuqín
候选[候選]	hòuxuǎn
呼唤[呼喚]	hūhuàn
呼啸[呼嘯]	hūxiào
呼吁[呼籲]	hūyù
忽略[忽略]	hūlüè
胡乱[胡亂]	húluàn
胡须[胡須]	húxū
湖泊[湖泊]	húpō
花瓣[花瓣]	huābàn
花蕾[花蕾]	huālěi
华丽[華麗]	huálì
华侨[華僑]	huáqiáo
化肥[化肥]	huàféi
化石[化石]	huàshí
化验[化驗]	huàyàn
化妆[化妝]	huà zhuāng
划分[劃分]	huàfēn
画蛇添足[畫蛇添足]	huàshétiānzú
话筒[話筒]	huàtǒng
欢乐[歡樂]	huānlè
还原[還原]	huányuán
环节[環節]	huánjié
缓和[緩和]	huǎnhé
患者[患者]	huànzhě
荒凉[荒涼]	huāngliáng
荒谬[荒謬]	huāngmiù
荒唐[荒唐]	huāngtang
皇帝[皇帝]	huángdì
皇后[皇後]	huánghòu
黄昏[黃昏]	huánghūn
恍然大悟[恍然大悟]	huǎngrándàwù
晃[晃]	huàng
挥霍[揮霍]	huīhuò
辉煌[輝煌]	huīhuáng
回报[回報]	huíbào
回避[回避]	huíbì
回顾[回顧]	huígù
回收[回收]	huíshōu
悔恨[悔恨]	huǐhèn
毁灭[毀滅]	huǐmiè
汇报[彙報]	huìbào
会晤[會晤]	huìwù
贿赂[賄賂]	huìlù
昏迷[昏迷]	hūnmí
荤[葷]	hūn
浑身[渾身]	húnshēn
混合[混合]	hùnhé
混乱[混亂]	hùnluàn
混淆[混淆]	hùnxiáo
混浊[混濁]	hùnzhuó
活该[活該]	huógāi
活力[活力]	huólì
火箭[火箭]	huǒjiàn
火焰[火焰]	huǒyàn
火药[火藥]	huǒyào
货币[貨幣]	huòbì
讥笑[譏笑]	jīxiào
饥饿[饑餓]	jī'è
机动[機動]	jīdòng
机构[機構]	jīgòu
机灵[機靈]	jīling
机密[機密]	jīmì
机械[機械]	jīxiè
机遇[機遇]	jīyù
机智[機智]	jīzhì
基地[基地]	jīdì
基金[基金]	jījīn
基因[基因]	jīyīn
激发[激發]	jīfā
激励[激勵]	jīlì
激情[激情]	jīqíng
及早[及早]	jízǎo
吉祥[吉祥]	jíxiáng
级别[級別]	jíbié
极端[極端]	jíduān
极限[極限]	jíxiàn
即便[即便]	jíbiàn
即将[即將]	jíjiāng
急功近利[急功近利]	jígōngjìnlì
急剧[急劇]	jíjù
急切[急切]	jíqiè
急于求成[急于求成]	jíyúqiúchéng
急躁[急躁]	jízào
疾病[疾病]	jíbìng
集团[集團]	jítuán
嫉妒[嫉妒]	jídù
籍贯[籍貫]	jíguàn
给予[給予]	jǐyǔ
计较[計較]	jìjiào
记性[記性]	jìxing
记载[記載]	jìzǎi
纪要[紀要]	jìyào
技巧[技巧]	jìqiǎo
忌讳[忌諱]	jìhuì
季度[季度]	jìdù
季军[季軍]	jìjūn
迹象[迹象]	jìxiàng
继承[繼承]	jìchéng
寄托[寄托]	jìtuō
寂静[寂靜]	jìjìng
加工[加工]	jiā gōng
加剧[加劇]	jiājù
夹杂[夾雜]	jiāzá
佳肴[佳肴]	jiāyáo
家常[家常]	jiācháng
家伙[家夥]	jiāhuo
家属[家屬]	jiāshǔ
家喻户晓[家喻戶曉]	jiā yù hù xiǎo
尖端[尖端]	jiānduān
尖锐[尖銳]	jiānruì
坚定[堅定]	jiāndìng
坚固[堅固]	jiāngù
坚韧[堅韌]	jiānrèn
坚实[堅實]	jiānshí
坚硬[堅硬]	jiānyìng
艰难[艱難]	jiānnán
监督[監督]	jiāndū
监视[監視]	jiānshì
监狱[監獄]	jiānyù
煎[煎]	jiān
拣[揀]	jiǎn
检讨[檢討]	jiǎntǎo
检验[檢驗]	jiǎnyàn
剪彩[剪彩]	jiǎn cǎi
简化[簡化]	jiǎnhuà
简陋[簡陋]	jiǎnlòu
简体字[簡體字]	jiǎntǐzì
简要[簡要]	jiǎnyào
见多识广[見多識廣]	jiànduōshíguǎng
见解[見解]	jiànjiě
见闻[見聞]	jiànwén
见义勇为[見義勇爲]	jiànyìyǒngwéi
间谍[間諜]	jiàndié
间隔[間隔]	jiàngé
间接[間接]	jiànjiē
剑[劍]	jiàn
健全[健全]	jiànquán
舰艇[艦艇]	jiàntǐng
践踏[踐踏]	jiàntà
溅[濺]	jiàn
鉴别[鑒別]	jiànbié
鉴定[鑒定]	jiàndìng
鉴于[鑒于]	jiànyú
将近[將近]	jiāngjìn
将就[將就]	jiāngjiu
将军[將軍]	jiāngjūn
僵硬[僵硬]	jiāngyìng
奖励[獎勵]	jiǎnglì
奖赏[獎賞]	jiǎngshǎng
桨[槳]	jiǎng
降临[降臨]	jiànglín
交叉[交叉]	jiāochā
交代[交代]	jiāodài
交涉[交涉]	jiāoshè
交易[交易]	jiāoyì
娇气[嬌氣]	jiāoqì
焦点[焦點]	jiāodiǎn
焦急[焦急]	jiāojí
角落[角落]	jiǎoluò
侥幸[僥幸]	jiǎoxìng
搅拌[攪拌]	jiǎobàn
缴纳[繳納]	jiǎonà
较量[較量]	jiàoliàng
教养[教養]	jiàoyǎng
阶层[階層]	jiēcéng
皆[皆]	jiē
接连[接連]	jiēlián
揭露[揭露]	jiēlù
节制[節制]	jiézhì
节奏[節奏]	jiézòu
杰出[傑出]	jiéchū
结晶[結晶]	jiéjīng
结局[結局]	jiéjú
结算[結算]	jiésuàn
截止[截止]	jiézhǐ
截至[截至]	jiézhì
竭尽全力[竭盡全力]	jiéjìn quánlì
解除[解除]	jiěchú
解放[解放]	jiěfàng
解雇[解雇]	jiěgù
解剖[解剖]	jiěpōu
解散[解散]	jiěsàn
解体[解體]	jiětǐ
戒备[戒備]	jièbèi
界限[界限]	jièxiàn
借鉴[借鑒]	jièjiàn
借助[借助]	jièzhù
金融[金融]	jīnróng
津津有味[津津有味]	jīnjīn yǒu wèi
紧迫[緊迫]	jǐnpò
锦上添花[錦上添花]	jǐnshàngtiānhuā
进而[進而]	jìn'ér
进攻[進攻]	jìngōng
进化[進化]	jìnhuà
进展[進展]	jìnzhǎn
近来[近來]	jìnlái
晋升[晉升]	jìnshēng
浸泡[浸泡]	jìnpào
茎[莖]	jīng
经费[經費]	jīngfèi
经纬[經緯]	jīngwěi
惊动[驚動]	jīngdòng
惊奇[驚奇]	jīngqí
惊讶[驚訝]	jīngyà
兢兢业业[兢兢業業]	jīngjīng yèyè
精打细算[精打細算]	jīng dǎ xì suàn
精华[精華]	jīnghuá
精简[精簡]	jīngjiǎn
精密[精密]	jīngmì
精确[精確]	jīngquè
精通[精通]	jīngtōng
精心[精心]	jīngxīn
精益求精[精益求精]	jīng yì qiú jīng
精致[精致]	jīngzhì
井[井]	jǐng
颈椎[頸椎]	jǐngzhuī
警告[警告]	jǐnggào
警惕[警惕]	jǐngtì
竞赛[競賽]	jìngsài
竞选[競選]	jìngxuǎn
敬礼[敬禮]	jìnglǐ
敬业[敬業]	jìngyè
境界[境界]	jìngjiè
镜头[鏡頭]	jìngtóu
纠纷[糾紛]	jiūfēn
纠正[糾正]	jiūzhèng
酒精[酒精]	jiǔjīng
救济[救濟]	jiùjì
就近[就近]	jiùjìn
就业[就業]	jiùyè
就职[就職]	jiù zhí
拘留[拘留]	jūliú
拘束[拘束]	jūshù
居民[居民]	jūmín
居住[居住]	jūzhù
鞠躬[鞠躬]	jūgōng
局部[局部]	júbù
局面[局面]	júmiàn
局势[局勢]	júshì
局限[局限]	júxiàn
咀嚼[咀嚼]	jǔjué
沮丧[沮喪]	jǔsàng
举动[舉動]	jǔdòng
举世瞩目[舉世矚目]	jǔshì zhǔmù
举足轻重[舉足輕重]	jǔzúqīngzhòng
剧本[劇本]	jùběn
剧烈[劇烈]	jùliè
据悉[據悉]	jùxī
聚精会神[聚精會神]	jù jīng huì shén
卷[卷]	juǎn
决策[決策]	juécè
觉悟[覺悟]	juéwù
觉醒[覺醒]	juéxǐng
绝望[絕望]	jué wàng
倔强[倔強]	juéjiàng
军队[軍隊]	jūnduì
君子[君子]	jūnzǐ
卡通[卡通]	kǎtōng
开采[開采]	kāicǎi
开除[開除]	kāichú
开阔[開闊]	kāikuò
开朗[開朗]	kāilǎng
开明[開明]	kāimíng
开辟[開辟]	kāipì
开拓[開拓]	kāituò
开展[開展]	kāizhǎn
开支[開支]	kāizhī
刊登[刊登]	kāndēng
刊物[刊物]	kānwù
勘探[勘探]	kāntàn
侃侃而谈[侃侃而談]	kǎnkǎn'értán
砍伐[砍伐]	kǎnfá
看待[看待]	kàndài
慷慨[慷慨]	kāngkǎi
扛[扛]	káng
抗议[抗議]	kàngyì
考察[考察]	kǎochá
考古[考古]	kǎogǔ
考核[考核]	kǎohé
考验[考驗]	kǎoyàn
靠拢[靠攏]	kàolǒng
科目[科目]	kēmù
磕[磕]	kē
可观[可觀]	kěguān
可口[可口]	kěkǒu
可恶[可惡]	kěwù
可行[可行]	kěxíng
渴望[渴望]	kěwàng
克制[克制]	kèzhì
刻不容缓[刻不容緩]	kèbùrónghuǎn
客户[客戶]	kèhù
课题[課題]	kètí
恳切[懇切]	kěnqiè
啃[啃]	kěn
坑[坑]	kēng
空洞[空洞]	kōngdòng
空前绝后[空前絕後]	kōngqiánjuéhòu
空想[空想]	kōngxiǎng
空虚[空虛]	kōngxū
孔[孔]	kǒng
恐怖[恐怖]	kǒngbù
恐吓[恐嚇]	kǒnghè
恐惧[恐懼]	kǒngjù
空白[空白]	kòngbái
空隙[空隙]	kòngxì
口气[口氣]	kǒuqì
口腔[口腔]	kǒuqiāng
口头[口頭]	kǒutóu
口音[口音]	kǒuyīn
扣[扣]	kòu
枯萎[枯萎]	kūwěi
枯燥[枯燥]	kūzào
哭泣[哭泣]	kūqì
苦尽甘来[苦盡甘來]	kǔjìngānlái
苦涩[苦澀]	kǔsè
挎[挎]	kuà
跨[跨]	kuà
快活[快活]	kuàihuo
宽敞[寬敞]	kuānchang
宽容[寬容]	kuānróng
款待[款待]	kuǎndài
款式[款式]	kuǎnshì
筐[筐]	kuāng
旷课[曠課]	kuàng kè
况且[況且]	kuàngqiě
矿产[礦産]	kuàngchǎn
框架[框架]	kuàngjià
亏待[虧待]	kuīdài
亏损[虧損]	kuīsǔn
捆绑[捆綁]	kǔnbǎng
扩充[擴充]	kuòchōng
扩散[擴散]	kuòsàn
扩张[擴張]	kuòzhāng
喇叭[喇叭]	lǎba
蜡烛[蠟燭]	làzhú
啦[啦]	la
来历[來曆]	láilì
来源[來源]	láiyuán
栏目[欄目]	lánmù
懒惰[懶惰]	lǎnduò
狼狈[狼狽]	lángbèi
狼吞虎咽[狼吞虎咽]	lángtūnhǔyàn
捞[撈]	lāo
牢固[牢固]	láogù
牢骚[牢騷]	láosāo
唠叨[唠叨]	láodao
乐趣[樂趣]	lèqù
乐意[樂意]	lèyì
雷达[雷達]	léidá
类似[類似]	lèisì
冷酷[冷酷]	lěngkù
冷落[冷落]	lěngluò
冷却[冷卻]	lěngquè
愣[愣]	lèng
黎明[黎明]	límíng
礼节[禮節]	lǐjié
礼尚往来[禮尚往來]	lǐshàngwǎnglái
里程碑[裏程碑]	lǐchéngbēi
理睬[理睬]	lǐcǎi
理所当然[理所當然]	lǐ suǒ dāng rán
理直气壮[理直氣壯]	lǐzhíqìzhuàng
理智[理智]	lǐzhì
力求[力求]	lìqiú
力所能及[力所能及]	lìsuǒnéngjí
力争[力爭]	lìzhēng
历代[曆代]	lìdài
历来[曆來]	lìlái
立场[立場]	lìchǎng
立方[立方]	lìfāng
立交桥[立交橋]	lìjiāoqiáo
立体[立體]	lìtǐ
立足[立足]	lìzú
利害[利害]	lìhai
例外[例外]	lìwài
粒[粒]	lì
连年[連年]	liánnián
连锁[連鎖]	liánsuǒ
连同[連同]	liántóng
联欢[聯歡]	liánhuān
联络[聯絡]	liánluò
联盟[聯盟]	liánméng
联想[聯想]	liánxiǎng
廉洁[廉潔]	liánjié
良心[良心]	liángxīn
谅解[諒解]	liàngjiě
晾[晾]	liàng
辽阔[遼闊]	liáokuò
列举[列舉]	lièjǔ
临床[臨床]	línchuáng
淋[淋]	lín
吝啬[吝啬]	lìnsè
伶俐[伶俐]	línglì
灵感[靈感]	línggǎn
灵魂[靈魂]	línghún
灵敏[靈敏]	língmǐn
凌晨[淩晨]	língchén
零星[零星]	língxīng
领会[領會]	lǐnghuì
领事馆[領事館]	lǐngshìguǎn
领土[領土]	lǐngtǔ
领悟[領悟]	lǐngwù
领先[領先]	lǐngxiān
领袖[領袖]	lǐngxiù
溜[溜]	liū
留恋[留戀]	liúliàn
留念[留念]	liúniàn
留神[留神]	liú shén
流浪[流浪]	liúlàng
流露[流露]	liúlù
流氓[流氓]	liúmáng
流通[流通]	liútōng
聋哑[聾啞]	lóngyǎ
隆重[隆重]	lóngzhòng
垄断[壟斷]	lǒngduàn
笼罩[籠罩]	lǒngzhào
搂[摟]	lǒu
炉灶[爐竈]	lúzào
屡次[屢次]	lǚcì
履行[履行]	lǚxíng
掠夺[掠奪]	lüèduó
轮船[輪船]	lúnchuán
轮廓[輪廓]	lúnkuò
轮胎[輪胎]	lúntāi
论坛[論壇]	lùntán
论证[論證]	lùnzhèng
啰唆[啰唆]	luōsuo
络绎不绝[絡繹不絕]	luòyìbùjué
落成[落成]	luòchéng
落实[落實]	luòshí
麻痹[麻痹]	mábì
麻木[麻木]	mámù
麻醉[麻醉]	mázuì
码头[碼頭]	mǎtou
蚂蚁[螞蟻]	mǎyǐ
嘛[嘛]	ma, má
埋伏[埋伏]	máifu
埋没[埋沒]	máimò
埋葬[埋葬]	máizàng
迈[邁]	mài
脉搏[脈搏]	màibó
埋怨[埋怨]	mányuàn
蔓延[蔓延]	mànyán
漫长[漫長]	màncháng
漫画[漫畫]	mànhuà
慢性[慢性]	mànxìng
忙碌[忙碌]	mánglù
盲目[盲目]	mángmù
茫茫[茫茫]	mángmáng
茫然[茫然]	mángrán
茂盛[茂盛]	màoshèng
冒充[冒充]	màochōng
冒犯[冒犯]	màofàn
枚[枚]	méi
媒介[媒介]	méijiè
美观[美觀]	měiguān
美满[美滿]	měimǎn
美妙[美妙]	měimiào
萌芽[萌芽]	méngyá
猛烈[猛烈]	měngliè
眯[眯]	mī
弥补[彌補]	míbǔ
弥漫[彌漫]	mímàn
迷惑[迷惑]	míhuò
迷人[迷人]	mírén
迷信[迷信]	míxìn
谜语[謎語]	míyǔ
密度[密度]	mìdù
密封[密封]	mìfēng
棉花[棉花]	miánhua
免得[免得]	miǎnde
免疫[免疫]	miǎnyì
勉励[勉勵]	miǎnlì
勉强[勉強]	miǎnqiǎng
面貌[面貌]	miànmào
面子[面子]	miànzi
描绘[描繪]	miáohuì
瞄准[瞄准]	miáozhǔn
渺小[渺小]	miǎoxiǎo
藐视[藐視]	miǎoshì
灭亡[滅亡]	mièwáng
蔑视[蔑視]	mièshì
民间[民間]	mínjiān
民主[民主]	mínzhǔ
敏捷[敏捷]	mǐnjié
敏锐[敏銳]	mǐnruì
名次[名次]	míngcì
名额[名額]	míng'é
名副其实[名副其實]	míng fù qí shí
名誉[名譽]	míngyù
明明[明明]	míngmíng
明智[明智]	míngzhì
命名[命名]	mìngmíng
摸索[摸索]	mōsuǒ
模范[模範]	mófàn
模式[模式]	móshì
模型[模型]	móxíng
膜[膜]	mó
摩擦[摩擦]	mócā
磨合[磨合]	móhé
魔鬼[魔鬼]	móguǐ
魔术[魔術]	móshù
抹杀[抹殺]	mǒshā
莫名其妙[莫名其妙]	mòmíngqímiào
墨水儿[墨水兒]	mòshuǐer
默默[默默]	mòmò
谋求[謀求]	móuqiú
模样[模樣]	múyàng
母语[母語]	mǔyǔ
目睹[目睹]	mùdǔ
目光[目光]	mùguāng
沐浴[沐浴]	mùyù
拿手[拿手]	náshǒu
纳闷儿[納悶兒]	nà mènr
耐用[耐用]	nàiyòng
南辕北辙[南轅北轍]	nányuánběizhé
难得[難得]	nándé
难堪[難堪]	nánkān
难能可贵[難能可貴]	nánnéngkěguì
恼火[惱火]	nǎohuǒ
内涵[內涵]	nèihán
内幕[內幕]	nèimù
内在[內在]	nèizài
能量[能量]	néngliàng
拟定[擬定]	nǐdìng
逆行[逆行]	nìxíng
年度[年度]	niándù
捏[捏]	niē
凝固[凝固]	nínggù
凝聚[凝聚]	níngjù
凝视[凝視]	níngshì
拧[擰]	níng
宁肯[甯肯]	nìngkěn
宁愿[甯願]	nìngyuàn
扭转[扭轉]	niǔzhuǎn
纽扣儿[紐扣兒]	niǔkòur
农历[農曆]	nónglì
浓厚[濃厚]	nónghòu
奴隶[奴隸]	núlì
虐待[虐待]	nüèdài
挪[挪]	nuó
哦[哦]	ò
殴打[毆打]	ōudǎ
呕吐[嘔吐]	ǒutù
偶像[偶像]	ǒuxiàng
趴[趴]	pā
排斥[排斥]	páichì
排除[排除]	páichú
排放[排放]	páifàng
排练[排練]	páiliàn
徘徊[徘徊]	páihuái
派别[派別]	pàibié
派遣[派遣]	pàiqiǎn
攀登[攀登]	pāndēng
盘旋[盤旋]	pánxuán
判决[判決]	pànjué
畔[畔]	pàn
庞大[龐大]	pángdà
抛弃[抛棄]	pāoqì
泡沫[泡沫]	pàomò
培育[培育]	péiyù
配备[配備]	pèibèi
配偶[配偶]	pèi'ǒu
配套[配套]	pèi tào
盆地[盆地]	péndì
烹饪[烹饪]	pēngrèn
捧[捧]	pěng
批发[批發]	pīfā
批判[批判]	pīpàn
劈[劈]	pī
皮革[皮革]	pígé
疲惫[疲憊]	píbèi
疲倦[疲倦]	píjuàn
屁股[屁股]	pìgu
譬如[譬如]	pìrú
偏差[偏差]	piānchā
偏见[偏見]	piānjiàn
偏僻[偏僻]	piānpì
偏偏[偏偏]	piānpiān
片断[片斷]	piànduàn
片刻[片刻]	piànkè
漂浮[漂浮]	piāofú
飘扬[飄揚]	piāoyáng
撇[撇]	piě
拼搏[拼搏]	pīnbó
拼命[拼命]	pīn mìng
贫乏[貧乏]	pínfá
贫困[貧困]	pínkùn
频繁[頻繁]	pínfán
频率[頻率]	pínlǜ
品尝[品嘗]	pǐncháng
品德[品德]	pǐndé
品质[品質]	pǐnzhì
品种[品種]	pǐnzhǒng
平凡[平凡]	píngfán
平面[平面]	píngmiàn
平坦[平坦]	píngtǎn
平行[平行]	píngxíng
平庸[平庸]	píngyōng
平原[平原]	píngyuán
评估[評估]	pínggū
评论[評論]	pínglùn
屏幕[屏幕]	píngmù
屏障[屏障]	píngzhàng
坡[坡]	pō
泼[潑]	pō
颇[頗]	pō
迫不及待[迫不及待]	pòbùjídài
迫害[迫害]	pòhài
破例[破例]	pòlì
魄力[魄力]	pòlì
扑[撲]	pū
铺[鋪]	pù, pū
朴实[樸實]	pǔshí
朴素[樸素]	pǔsù
普及[普及]	pǔjí
瀑布[瀑布]	pùbù
凄凉[淒涼]	qīliáng
期望[期望]	qīwàng
期限[期限]	qīxiàn
欺负[欺負]	qīfu
欺骗[欺騙]	qīpiàn
齐全[齊全]	qíquán
齐心协力[齊心協力]	qíxīnxiélì
奇妙[奇妙]	qímiào
歧视[歧視]	qíshì
旗袍[旗袍]	qípáo
旗帜[旗幟]	qízhì
乞丐[乞丐]	qǐgài
岂有此理[豈有此理]	qǐ yǒu cǐ lǐ
企图[企圖]	qǐtú
启程[啓程]	qǐchéng
启蒙[啓蒙]	qǐméng
启示[啓示]	qǐshì
启事[啓事]	qǐshì
起草[起草]	qǐ cǎo
起初[起初]	qǐchū
起伏[起伏]	qǐfú
起哄[起哄]	qǐ hòng
起码[起碼]	qǐmǎ
起源[起源]	qǐyuán
气概[氣概]	qìgài
气功[氣功]	qìgōng
气魄[氣魄]	qìpò
气色[氣色]	qìsè
气势[氣勢]	qìshì
气味[氣味]	qìwèi
气象[氣象]	qìxiàng
气压[氣壓]	qìyā
气质[氣質]	qìzhì
