//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
//Chinese With Mike/Season 2/Ch 50: Mǎi and Mài (Buy & sell)
我要买可乐	wǒ yào kělè.	I want cola
你要不要买气球	nǐ yào bú yào mǎi qìqiú?	Do you want to buy a balloon?
他喜欢买玩具	tā xǐhuān mǎi wánjù.	He wants to buy a toy.
我的姐姐要卖她的车子	wǒde jiějie yào mài tāde chēzi.	My sister wants to sell her car.
老师的朋友不要不要买篮球。他要买排球	Lǎoshīde péngyǒu bú yào mǎi lánqiú. Tā yào mǎi páiqiú.	Teacher's friend don't want to buy a basketball. He is looking for a volleyball.
你要卖什么？	nǐ yào mài shénme?	You want to sell something?
我要卖我的椅子	wò yào mài wǒde yǐzi.	I want to sell my chair.
为什么	wèishénme?	Why?
因为我的椅子很旧	yīnwèi wǒde yǐzi hěn jiù.	Because my chair is old.
王先生要买水果，可是王太太要买蔬菜	Wang Xiānshēng yào mǎi shuǐguǒ kěshì Wang Tàitai yào mǎi shūcài. Mr Wang wants to buy fruit but Mrs Wants to buy vegetables.
谁要买冰淇淋？	shèi yào mǎi bīngqílín?	Who wants to buy ice cream?
他们要买冰淇淋。冰淇淋很好吃。	tāmen yào mǎi bīngqílín. Bīngqílín hěn hǎochī.	They want to buy ice cream. Ice cream is good to eat.
我要买中文书。	wǒ yào mǎi Zhōngwén shū.	I want to buy a Chinese book.
你会讲中文吗？	nǐ huì jiǎng Zhōngwén ma?	Can you speak Chinese?
会。我会讲中文。	huì. Wǒ huì jiǎng Zhōngwén.	Yes. I can speak Chinese.
我的妹妹要卖她的法文书。	wǒde mèimei yào mài tāde Fǎwén shū.	My youger sister wants to sell her French books.
因为她的法文书不好看。她要买新的法文书。	Yīnwèi tāde Fǎwén shū bù hǎokàn. Tā yào mǎi xīnde Fǎwén shū.	Because her French books are not good to read. She wants to buy new French books.
我喜欢买东西。	wǒ xǐhuān mǎi dōngxī.	I like buying things.
我的女儿要买糖果。	wǒde nü'ér yào mǎi tángguǒ.	My daughter wants to buy candy.
我的儿子也要买。	wǒde érzi yě yào mǎi.	My son wants to buy some too.
因为我很饿，所以我要买晚餐。	yīnwèi wǒ hěn è, suǒyǐ wǒ yào mǎi wǎncān.	Because I am hungry, I want to buy dinner.
因为我们很渴，所以我们要买饮料。	yīnwèi wǒmen hěn kě, suǒyǐ wǒmen yào mǎi yǐnliào.	Because we are thirsty, we want to buy drinks.
我要买电脑。但是电脑很贵。	wǒ yào mǎi diànnǎo. Dànshì diànnǎo hěn guì.	I want to buy a computer, but the computer is expensive.

//Chinese With Mike/Season 2/Ch 51: How Much Is It?
多少钱？	duōshǎo qián? 	How much money?
棒球多少钱？	bàngqiú duōshǎo qián? 	How much is the baseball?
我要买橙汁	wǒ yāomǎi chéngzhī	I want to buy orange juice
你要大的还是小的	nǐ yào dà de háishì xiǎo de	Do you want a large or small?
我要大的。多少钱？	wǒ yào dà de. Duōshǎo qián? 	I want a large. How much is it?
我要卖我的手机	wǒ yào mài wǒ de shǒujī	I want to sell my cellphone
100块。很便宜	100 Kuài. Hěn piányi	100 bucks. Very cheap.

//Chinese With Mike/Season 2/Ch 52: Clothes
你要穿什么衣服？	nǐ yào chuān shénme yīfú? 	What do you want to wear?
我要穿绿色的衬衫	wǒ yào chuān lǜsè de chènshān	I want to wear a green shirt
今天他要穿什么衣服？	jīntiān tā yào chuān shénme yīfú? 	What does he want to wear today?
你要不要穿鞋子？	nǐ yào bùyào chuān xiézi?	Do you want to wear shoes?
你要穿什么颜色？	nǐ yào chuān shénme yánsè? 	What colour shoes do you want to wear?
我要穿黑色的鞋子	wǒ yào chuān hēisè de xiézi	I want to wear black shoes
我的鞋则好不好看？	wǒ de xié zé hǎobù hǎokàn? 	Do my shoes look good?
你的鞋子很好看	nǐ de xiézi hěn hǎokàn	Your shoes look good

//Chinese With Mike/Season 2/Ch 53: More Verbs
我要练习中文	wǒ yào liànxí zhōngwén	I want to practice Chinese
睡觉	shuìjiào	to sleep
谁教你中文？	shuí jiào nǐ zhōngwén?	Who teaches you Chinese?
Mike老师教我。。。	mike lǎoshī jiào wǒ. . .	Mike Laoshi teaches me ...
我在大学。我要学习日文	wǒ zài dàxué. Wǒ yào xuéxí rìwén	I am at University. I want to study Japanese
他很累吗？	tā hěn lèi ma?	Is he tired?
是。他很累。	shì. Tā hěn lèi.	Yes. He is tired
她要睡觉	tā yào shuìjiào	She wants to sleep
因为我的英文不好，所以我要练习	yīnwèi wǒ de yīngwén bù hǎo, suǒyǐ wǒ yào liànxí	Because my English is bad, I want to practice.
你叫什么？	nǐ jiào shénme?	What are you called?
我叫Mike	wǒ jiào Mike	I am called Mike
你的名字叫什么？	nǐ de míngzì jiào shénme?	What is your name?
我的名字叫Mike	wǒ de míngzì jiào Mike	My name is (called) Mike

//Chinese With Mike/Season 2/Ch 54: To Go
我喜欢去公园	wǒ xǐhuan qù gōngyuán	I like to go to the park.
你喜欢去公园吗？	nǐ xǐhuan qù gōngyuán ma?	Do you like to go to the park?
你喜欢去动物园吗？	nǐ xǐhuan qù dòngwùyuán ma?	Do you like to go to the zoo?
喜欢。我喜欢去动物园	xǐhuan. Wǒ xǐhuan qù dòngwùyuán	Yes. I like to go to the zoo.
他喜不喜欢去医院？	tā xǐ bù xǐhuan qù yīyuàn?	Does he like to go to the hospital?
不喜欢。他不喜欢去医院	bù xǐhuan. Tā bù xǐhuan qù yīyuàn	No. He doesn't like to go to the hospital.
我喜欢去电影院看新电影	wǒ xǐhuan qù diànyǐngyuàn kàn xīn diànyǐng	I like to go to the cinema to see new movies.
你喜欢去图书馆看书吗？	nǐ xǐhuan qù túshū guǎn kàn shū ma?	Would you like to go to the library to read books?
他们喜欢去游泳池游泳。	tāmen xǐhuan qù yóuyǒngchí yóuyǒng.	They like to go to the pool to swim.
他们喜不喜欢去市场买菜	tāmen xǐ bù xǐhuan qù shìchǎng mǎi cài	Do they like to go to the market to buy food?

//Chinese With Mike/Season 2/Ch 55: Yao (Definition 2)
你要去哪里？	nǐ yào qù nǎlǐ?	Where are you going?
我要去学校。	wǒ yào qù xuéxiào.	I'm going to school.
他要去睡觉。	tā yào qù shuìjiào.	He is going to go to sleep.
我要去图书馆。	wǒ yào qù túshū guǎn.	I am going to the library.
因为我要学习中文。	yīnwèi wǒ yào xuéxí zhōngwén.	Because I want to learn Chinese.
我的女朋友要回家。	wǒ de nǚ péngyǒu yào huí jiā.	My girlfriend wants to go return home.
因为现在很晚。	yīnwèi xiànzài hěn wǎn.	Because it is late now.
他要睡觉。	tā yào shuìjiào.	She is going to sleep.
老师要看书。	lǎoshī yào kàn shū.	The teacher wants to/is going to read.
谁要去中国？	shuí yào qù zhōngguó?	Who is going to China?
我们要去中国。	wǒmen yào qù zhōngguó.	We are going to China.
王先生要看球赛。	wáng xiānshēng yào kàn qiúsài.	Mr. Wang is going to go and watch a ball game.

//Chinese With Mike/Season 2/Ch 56: Yao (Definition 3) and Review
我要咖啡。	wǒ yào kāfēi.	I want coffee.
我要去海滩。	wǒ yào qù hǎitān.	I am going to go to the beach.
我要做作业。	wǒ yào zuò zuo yè.	I must do homework.
我要工作。	wǒ yào gōngzuò.	I must work.
我要吃药。	wǒ yào chī yào.	I must take medicine.
我要吃饭。	wǒ yào chīfàn.	I want to/am going to/must eat.
你要买东西。	nǐ yāomǎi dōngxi.	You want to/am going to/must buy something.
他要洗衣服。	tā yào xǐ yīfú.	He must do laundry.
我们要做运动。	wǒmen yào zuò yùndòng.	We want to/are going to/must exercise.
你们要回中国。	nǐmen yào huí zhōngguó.	You are going back to China.
他们要（去）工作。	tāmen yào (qù) gōngzuò.	They are going to go to work.
你要去哪里？	nǐ yào qù nǎlǐ?	Where are you going?
你要做什么？	nǐ yào zuò shénme?	What are you going to do?
学习中文	xuéxí zhōngwén	Learn Chinese

//Chinese With Mike/Season 2/Ch 57: Adverbs
你好吗？	nǐ hǎo ma?	How are you?
我很好。	wǒ hěn hǎo.	I'm good.
我还好。	wǒ hái hǎo.	I'm all right.
我不好。	wǒ bù hǎo.	I'm not OK.
你喜欢X？还好。	nǐ xǐhuan X? Hái hǎo.	You like X? It's OK.
因为我太累，所以我不要出去	yīnwèi wǒ tài lèi, suǒyǐ wǒ bùyào chūqù	Because I was too tired, I didn't go out
因为天气超热所以他要吃冰淇淋	yīn wéi tiānqì chāo rè suǒyǐ tā yào chī bīngqílín	Because the weather was super hot, he wanted to eat ice cream.
因为我的狗蛮臭， 所以大家不喜欢它	Yīnwèi wǒ de gǒu mán chòu, suǒyǐ dàjiā bù xǐhuan tā	Because my dog is quite smelly, everyone doesn't like it.
你真漂亮。	nǐ zhēn piàoliang.	You are really beautiful
他们真棒。	tāmen zhēn bàng.	They are truly great
真的吗？	zhēn de ma?	Really?
真的.	zhēn de.	Really.

//Chinese With Mike/Season 2/Ch 58: Keyi
我会开车	wǒ huì kāichē	I can drive.
你会煮饭	nǐ huì zhǔ fàn	You can cook.
他会骑摩托车	tā huì qí mótuō chē	He will ride a motorcycle.
我可以去厕所吗？	wǒ kěyǐ qù cèsuǒ ma?	May I go to the bathroom?
我可以亲昵吗？	wǒ kěyǐ qīnnì ma?	May I kiss you?
我可以回家吗？	wǒ kěyǐ huí jiā ma?	May I return home?
我可以看电视吗？	wǒ kěyǐ kàn diànshì ma?	May I watch television?
你可以给我X吗？	nǐ kěyǐ gěi wǒ X ma?	Could you give me X?
你可不可以帮我？	nǐ kěbù kěyǐ bāng wǒ?	Could you help me?
可以/不可以	kěyǐ/bù kěyǐ	Yes/No (can/can't)

//Chinese With Mike/Season 2/Ch 59: Neng
我会打麻将	wǒ huì dǎ májiàng	I can play mahjong.
你可以去厕所	nǐ kěyǐ qù cèsuǒ	You can go to the bathroom.
我不能去	wǒ bùnéng qù	I cannot go.
你能不能给我笔？	nǐ néng bùnéng gěi wǒ bǐ?	Are you able to give me the pen?
他不能出去	tā bùnéng chūqù	He cannot go out.
因为我不能去学校，所以我不高兴。	yīnwèi wǒ bùnéng qù xuéxiào, suǒyǐ wǒ bù gāoxìng.	Because I am not able to go to school, I am not happy.
我不能去中国	wǒ bùnéng qù zhōngguó	I am not able to go to China.
我的妈妈不能喝酒	wǒ de māmā bùnéng hējiǔ	My mother is not able to drink alcohol.
我的女儿还不能工作	wǒ de nǚ'ér hái bùnéng gōngzuò	My daughter is not able to work.
我的儿子还不能去夜店	wǒ de ér zǐ huán bùnéng qù yèdiàn	My son cannot go to nightclubs.
我还不能出来.	wǒ hái bùnéng chūlái.	I am not able to go out.
她还不能睡觉.	tā hái bùnéng shuìjiào.	She is unable to sleep.

//Chinese With Mike/Season 2/Ch 60: Negative Commands
我要三明治。	wǒ yào sānmíngzhì.	I want a sandwich.
我们要去机场。	wǒmen yào qù jīchǎng.	We are going to the airport.
你们要洗手。	nǐmen yào xǐshǒu.	You must wash your hands.
不要	bùyào	Do not/don't
不要偷我的东西。	bùyào tōu wǒ de dōngxi.	Don't steal my stuff.
不要喝酒。	bùyào hējiǔ.	Don't drink alcohol.
不要走。	bùyào zǒu.	Don't leave.
不要开门。	bùyào kāimén.	Don't open the door.
不要买太贵的车子。	bù yāo mǎi tài guì de jū zi.	Don't buy a too expensive car.
不要等我。	bùyào děng wǒ.	Don't wait for me.

//Chinese With Mike/Season 3/Ch 61: You
这是咖啡。	zhè shì kāfēi. 	This is coffee. 
我要喝咖啡。	wǒ yào hē kāfēi. 	I want to drink coffee. 
我喜欢喝咖啡。	wǒ xǐhuan hē kāfēi. 	I like to drink coffee. 
我有咖啡。	wǒ yǒu kāfēi. 	I have coffee. 
我有花。	wǒ yǒu huā. 	I have flowers. 
我有红色的花。	wǒ yǒu hóngsè de huā. 	I have red flowers. 
你有帽子。 	nǐ yǒu màozi. 	You have a hat. 
你有黑色的帽子。	nǐ yǒu hēisè de màozi. 	You have a black hat. 
我有钱。	wǒ yǒu qián. 	I have money.
你有房子。	nǐ yǒu fángzi. 	You have a house. 
他有书。	tā yǒu shū. 	He has books. 
我们有狗。	wǒmen yǒu gǒu. 	We have a dog. 
你们有猫。	nǐmen yǒu māo. 	You have a cat. 
他们有车子。	tāmen yǒu chēzi. 	They have a car.

//Chinese With Mike/Season 3/Ch 62: Mei You
我不是医生。	wǒ bùshì yīshēng. 	I am not a doctor.
你不喜欢看书。	nǐ bù xǐhuan kàn shū. 	You do not like reading.
她不要去图书馆。	tā bùyào qù túshū guǎn. 	She does not like to go to the library.
我们不好。	wǒmen bù hǎo. 	We are not good.
我有钱。	wǒ yǒu qián. 	I have money.
我没有钱。	wǒ méiyǒu qián. 	I don't have money.
我没有车子。	wǒ méiyǒu chēzi. 	I don't have a car.
你没有房子。	nǐ méiyǒu fángzi. 	You don't have a house.
他没有工作。	tā méiyǒu gōngzuò. 	He doesn't have a job.
我们没有中文书。	wǒmen méiyǒu zhòng wén shū. 	We don't have Chinese books.
你们没有英文书。	nǐmen méiyǒu yīngwén shū. 	You guys don't have English books.
他们没有筷子。	tāmen méiyǒu kuàizi. 	They don't have chopsticks.
你有什么？	nǐ yǒu shé me? 	What do you have?
我有衣服。	wǒ yǒu yīfú. 	I have clothes.
你有电脑吗？	nǐ yǒu diànnǎo ma? 	Do you have a computer?
有。我有电脑。	yǒu. Wǒ yǒu diànnǎo.	Yes. I have a computer.
你有相机吗？	nǐ yǒu xiàngjī ma? 	Do you have a camera?
没有。我没有相机。	méiyǒu. Wǒ méiyǒu xiàngjī. 	No. I don't have a camera.

//Chinese With Mike/Season 3/Ch 63: Review of You
你有电话吗？	nǐ yǒu diànhuà ma? 	Do you have a phone?
你有没有电话？	nǐ yǒu méiyǒu diànhuà? 	Do you have a phone?
有。我有电话。	yǒu. Wǒ yǒu diànhuà. 	Yes. I have a phone.
你的妈妈有没有茶？	nǐ de māmā yǒu méiyǒu chá? 	Does your mother have tea?
我不喜欢你。	wǒ bù xǐhuan nǐ. 	I don't like you.
你没有功课。	nǐ méiyǒu gōngkè. 	You don't have any homework.
他没有牙刷。	tā méiyǒu yáshuā. 	He doesn't have a toothbrush.
我们不是台湾人。	wǒmen bùshì táiwān rén. 	We are not taiwanese.
你们没有玩具。	nǐmen méiyǒu wánjù. 	You do not have toys.
他们不要去公园。	tāmen bùyào qù gōngyuán. 	They are not going to the park.

//Chinese With Mike/Season 3/Ch 64: Hen Duo
我有很多熊猫。	wǒ yǒu hěnduō xióngmāo. 	I have a lot of pandas.
我有很多鞋子。	wǒ yǒu hěnduō xiézi. 	I have a lot of shoes.
你有很多钱。	nǐ yǒu hěnduō qián. 	You have a lot of money.
她有很多书。	tā yǒu hěnduō shū. 	She has a lot of books.
我们有很多朋友。	wǒmen yǒu hěnduō péngyǒu. 	We have a lot of friends.
你们有很多笔。	nǐmen yǒu hěnduō bǐ. 	You guys have a lot of pens.
他们有很多花。	tāmen yǒu hěnduō huā. 	They have a lot of flowers.
我的爸爸没有很多帽子。	wǒ de bàba méiyǒu hěnduō màozi. 	My father does not have many hats.
你的妈妈没有很多椅子。	nǐ de māmā méiyǒu hěnduō yǐzi. 	Your mother does not have many chairs.
我们的老师没有很多学生。	wǒmen de lǎoshī méiyǒu hěnduō xuéshēng.	Our teacher does not have many students.

//Chinese With Mike/Season 3/Ch 65: Measure Words
我有妹妹。	wǒ yǒu mèimei. 	I have younger sister(s).
我有一个妹妹。	wǒ yǒu yīgè mèimei. 	I have one younger sister.
我有两个弟弟。	wǒ yǒu liǎng gè dìdì. 	I have two younger brothers.
我有三个哥哥。	wǒ yǒusān gè gēgē. 	I have three older brothers.
我有一个女朋友。	wǒ yǒu yīgè nǚ péngyǒu. 	I have one girlfriend.
你有两个老师。	nǐ yǒu liǎng gè lǎoshī. 	You have two teachers.
他有三个妹妹。	tā yǒusān gè mèimei.	He has three younger sisters.
我们有两个医生。	wǒmen yǒu liǎng gè yīshēng. 	We have two doctors.
你们有四个孩子。	nǐmen yǒu sì gè háizi. 	You have four children.
他们有五个律师。	tāmen yǒu wǔ gè lǜshī. 	They have five lawyers.

//Chinese With Mike/Season 3/Ch 66: How Many and Measure Words
你几岁？	nǐ jǐ suì? 	How old are you?
现在（是）几点？	xiànzài (shì) jǐ diǎn? 	What time is it?
现在是几月？	xiànzài shì jǐ yuè? 	What month is it?
今天是星期几？	jīntiān shì xīngqí jǐ? 	What is the day of the week today?
今天是几月几号？	jīntiān shì jǐ yuè jǐ hào? 	What is the month and date today?
你有几个妹妹？	nǐ yǒu jǐ gè mèimei? 	How many younger sisters do you have?
你有几个学生？	nǐ yǒu jǐ gè xuéshēng? 	How many students do you have?
我有十个学生。	wǒ yǒu shí gè xuéshēng. 	I have ten students.
你有几个姐妹？	nǐ yǒu jǐ gè jiěmèi? 	How many sisters do you have?
我有三个姐妹。	wǒ yǒusān gè jiěmèi. 	I have three sisters.
他有几个兄弟？	tā yǒu jǐ gè xiōngdì? 	How many brothers does he have?
餐厅有几个服务员？	cāntīng yǒu jǐ gè fúwùyuán? 	The restaurant has how many servers?

//Chinese With Mike/Season 3/Ch 67: More Measure Words
你的家有几个人？	nǐ de jiā yǒu jǐ gèrén? 	How many people does your home have?
我的家有五个人。	wǒ de jiā yǒu wǔ gèrén. 	Our home has five people.
你的家有几只狗？	nǐ de jiā yǒu jǐ zhǐ gǒu? 	How many animals do you have at home?
我的家有两只狗。	wǒ de jiā yǒu liǎng zhī gǒu. 	My house has two dogs.
你有几本书？	nǐ yǒu jǐ běn shū?	How many books do you have?
我有三本书。	wǒ yǒusān běn shū. 	I have three books.
你有几个中国朋友？	nǐ yǒu jǐ gè zhōngguó péngyǒu? 	How many Chinese friends do you have?
我有一个中国朋友。	wǒ yǒu yīgè zhōngguó péngyǒu. 	I have one Chinese friend.
Mike老师有几本杂志？	Mike lǎoshī yǒu jǐ běn zázhì? 	How many magazines does teacher Mike have?
Mike老师有一本杂志。	Mike lǎoshī yǒuyī běn zázhì.	Teacher Mike has one magazine.
她有几只猫？	tā yǒu jǐ zhǐ māo? 	How many cats does she have?
她有一只猫。	tā yǒuyī zhǐ māo. 	She has three cats.
他们有几个孩子？	tāmen yǒu jǐ gè háizi? 	How many children do they have?
他们有一个孩子。	tāmen yǒu yīgè háizi. 	They have one child.

//Chinese With Mike/Season 3/Ch 68: Even More Measure Words
我要买一张床。	wǒ yāomǎi yī zhāng chuáng. 	I want to buy a bed.
给我一张纸。	gěi wǒ yī zhāng zhǐ. 	Give me a piece of paper.
你的家有几张桌子。	nǐ de jiā yǒu jǐ zhāng zhuōzi. 	How many tables are in your home?
你要一杯水吗？	nǐ yào yībēi shuǐ ma? 	Do you want a cup of water?
给我四杯咖啡。	gěi wǒ sì bēi kāfēi. 	Give me four cups of coffee.
你要一瓶水？	nǐ yào yī píng shuǐ? 	Do you want a bottle of water?
我是一个美国人。	wǒ shì yīgè měiguó rén. 	I am an American.
你是一个男人。	nǐ shì yīgè nánrén. 	You are a man.
她是一个教授。	tā shì yīgè jiàoshòu. 	She is a professor.
我没有一张纸。	wǒ méiyǒu yī zhāng zhǐ. 	I don't have a piece of paper.
你有两杯茶。	nǐ yǒu liǎng bēi chá. 	You have two cups of tea.
他有六瓶可乐。	tā yǒu liù píng kělè. 	He has six bottles of cola.
我们有三本中文书。	wǒmen yǒusān běn zhōngwén shū. 	We have three Chinese books.
你要几杯牛奶？	nǐ yào jǐ bēi niúnǎi? 	How many glasses of milk do you guys want?
他们有几只马？	tāmen yǒu jǐ zhǐ mǎ? 	How many horses do they have?

//Chinese With Mike/Season 3/Ch 69: Zhege and Nage
这是老师。	zhè shì lǎoshī. 	This is a teacher.
这是一个老师。	zhè shì yīgè lǎoshī. 	This is one teacher.
这是我的老师。	zhè shì wǒ de lǎoshī. 	This is my teacher.
那是我的朋友。	nà shì wǒ de péngyǒu. 	That is my friend.
这个人是我（的）爸爸。	zhège rén shì wǒ (de) bàba. 	This person is my father.
那个人是我（的）妈妈。	nàgè rén shì wǒ (de) māmā. 	That person is my mother.
这个男人是我（的）哥哥。	zhège nánrén shì wǒ (de) gēgē. 	This man is my older brother.
那个女人是我（的）姐姐。	nàgè nǚrén shì wǒ (de) jiejie. 	That woman is my older sister.
这个女孩（子）是学生。	zhège nǚhái (zi) shì xuéshēng. 	This girl is a student.
那个男孩（子）是我的弟弟。	nàgè nánhái (zi) shì wǒ de dìdì. 	That boy is my younger brother.
这个孩子是谁？	zhège háizi shì shuí? 	Who is this child?
这个孩子是老师的儿子。	zhège háizi shì lǎoshī de érzi. 	This child is the teachers son.
那个男生是大学生。	nàgè nánshēng shì dàxuéshēng. 	That guyyoung man is a college student.
那个女生石高中生。	nàgè nǚshēng shí gāozhōng shēng. 	That girlyoung woman is a high school student.
这个女人是医生。	zhège nǚrén shì yīshēng. 	This woman is a doctor.
那个女人是护士吗？	nàgè nǚrén shì hùshì ma? 	Is that woman a nurse?

//Chinese With Mike/Season 3/Ch 70: Zhe and Na and Measure Words
这杯咖啡很烫。	zhè bēi kāfēi hěn tàng. 	This cup of coffee is very hot.
那杯水超冷。	nà bēi shuǐ chāo lěng. 	That water is super cold.
这蜘蛛好大。	zhè zhīzhū hào dà. 	This pig is so big.
那只猴子蛮顽皮。	nà zhǐ hóuzi mán wánpí. 	That monkey is pretty naughty.
这张椅子太硬。	zhè zhāng yǐzi tài yìng. 	This chair is too hard.
那张桌子很长。	nà zhāng zhuōzi hěn zhǎng. 	That table is very long.
这个教授非常聪明。	zhège jiàoshòu fēicháng cōngmíng. 	This professor is very smart.
那个律师真有钱。	nàgè lǜshī zhēnyǒu qián. 	That lawyer is really rich.
这本书是谁的？	zhè běn shū shì shuí de. 	Whose book is this?
这个女人是你的妈妈吗？	zhège nǚrén shì nǐ de māmā ma? 	Is this woman your mother?
那个老师是谁？	nàgè lǎoshī shì shuí? 	Who is that teacher?
这张纸是谁的？	zhè zhāng zhǐ shì shuí de? 	Whose piece of paper is this?
那张床很舒服吗？	nà zhāng chuáng hěn shūfú ma? 	Is that bed comfortable?
这杯果汁好喝吗？	zhè bēi guǒzhī hǎo hē ma? 	Is this cup of fruit juice good to drink?
那杯茶是谁的？	nà bēi chá shì shuí de? 	Whose cup of tea is that?
这本杂志很贵吗？	zhè běn zázhì hěn guì ma? 	Is this magazine expensive?
那本书好不好看？	nà běn shū hǎobù hǎokàn? 	Is that book a good read?
这只大象超重？	zhè zhǐ dà xiàng chāozhòng? 	Is this elephent super heavy?
那只猪是你的女朋友的吗？	nà zhǐ zhū shì nǐ de nǚ péngyǒu de ma? 	Is that your girlfriend's pig?

//Chinese With Mike/Season 3/Ch 71: Prepositions I
在	zài	in, at, on
你在哪里？	nǐ zài nǎlǐ?	Where are you?
我在。。。	wǒ zài. . .	I am at...
他在哪里？	tā zài nàlǐ?	Where is he?
他在。。。	tā zài. . .	His is at...
台北在哪里？	táiběi zài nàlǐ?	Where is Taipei?
你的太太在哪里？	nǐ de tàitài zài nàlǐ?	Where is your wife?
她在超级市场。	tā zài chāojí shìchǎng.	She is at the supermarket.
你的先生在哪里？	nǐ de xiānshēng zài nàlǐ?	Where is your husband?
他在图书馆。	tā zài túshū guǎn.	He is at the library.
老师在哪里？	lǎoshī zài nàlǐ?	Where is the teacher?
他在学校。	tā zài xuéxiào.	He is at school.
楼上	lóu shàng	Upstairs
楼下	lóu xià	Downstairs
里面	lǐmiàn	Inside
外面	wàimiàn	Outside
里边	lǐbian	Inside (alternative).
外边	wàibian	Outside (alternative).
我是外国人。	wǒ shì wàiguó rén.	I am a foreigner (lit. outsider).
我在楼上。	wǒ zài lóu shàng.	I am upstairs.
我在楼下。	wǒ zài lóu xià.	I am downstairs.
我在里面。	wǒ zài lǐmiàn.	I am inside.
我在外面。	wǒ zài wàimiàn.	I am outside.
你的卧室在哪里？	nǐ de wòshì zài nàlǐ?	Where is your bedroom?
我的卧室在楼上。	wǒ de wòshì zài lóu shàng.	My bedroom is upstairs.
车子在哪里？	chēzi zài nàlǐ?	Where is the car?
车子在外面。	chēzi zài wàimiàn.	The car is outside
Mike老师在哪里？	Mike lǎoshī zài nàlǐ?	Where is teacher Mike?
Mike老师在里面。	Mike lǎoshī zài lǐmiàn.	Teacher Mike is inside.
Mike老师在外面。	Mike lǎoshī zài wàimiàn.	Teacher Mike is outside.

//Chinese With Mike/Season 3/Ch 72: Prepositions II
在里面	zài lǐmiàn	inside
在外面	zài wàimiàn	outside
在上面	zài shàngmiàn	above, on top of
在下面	zài xiàmiàn	below, underneath
在前面	zài qiánmiàn	in front of
在后面	zài hòumiàn	behind
熊猫在哪里？	xióngmāo zài nàlǐ?	Where is the panda?
它在里面。	tā zài lǐmiàn.	It is inside.
它在外面。	tā zài wàimiàn.	It is outside.
它在前面。	tā zài qiánmiàn.	It is in front.
它在后面。	tā zài hòumiàn.	It is behind.
它在上面。	tā zài shàngmiàn.	It is above.
它在下面。	tā zài xiàmiàn.	It is below.
白板在我的后面。	báibǎn zài wǒ de hòumiàn.	The whiteboard is behind me.
白板笔在我的前面。	báibǎn bǐ zài wǒ de qiánmiàn.	The whiteboard marker is in front of me.
天花板在我的上面。	tiānhuābǎn zài wǒ de shàngmiàn.	The celiing is above me.
地板在我的下面。	dìbǎn zài wǒ de xiàmiàn.	The floor is beneath me.
黑板在外面。	hēibǎn zài wàimiàn.	The blackboard is outside.
牛奶在冰箱的里面。	niúnǎi zài bīngxiāng de lǐmiàn.	The milk is inside the refrigerator.
咖啡在微波炉的里面。	kāfēi zài wéibōlú de lǐmiàn.	The coffee is inside the microwave.

//Chinese With Mike/Season 3/Ch 73: Prepositions III
在旁边	Zài pángbiān	Next to
在左边	Zài zuǒbiān	On the left
在右边	Zài yòubiān	On the right
在中间	Zài zhōngjiān	Between, in the middle
树在我的左边。	Shù zài wǒ de zuǒbiān.	The tree is on my left.
树在我的右边。	Shù zài wǒ de yòubiān.	Thetree is on my right.
我在树的中间。	Wǒ zài shù de zhōngjiān.	I am between the trees.
楼梯在我的旁边。	Lóutī zài wǒ de pángbiān.	The stairs are next to me.
楼梯在我的左边。	Lóutī zài wǒ de zuǒbiān.	The stairs are on my left.
门在我的旁边。	Mén zài wǒ de pángbiān.	The door is next to me.
门在我的右边。	Mén zài wǒ de yòubiān.	The door is on my right.
灯在我的上面。	Dēng zài wǒ de shàngmiàn.	The light is above me.
电脑在桌子的上面。	Diànnǎo zài zhuōzi de shàngmiàn.	The computer is on the table.
Mike老师在电脑的前面。	Mike lǎoshī zài diànnǎo de qiánmiàn.	Mike is in front of the computer.
花在椅子的上面。	Huā zài yǐzi de shàngmiàn.	The flowers are above the chair.
球在椅子的下面。	Qiú zài yǐzi de xiàmiàn.	The ball is below the chair.
香蕉在椅子的中间。	Xiāngjiāo zài yǐzi de zhōngjiān.	The bananas are between the chairs.
蔬菜在肉的中间。	Shūcài zài ròu de zhōngjiān.	The vegetables are between the meat.
我很饿。我要去外面烤肉。	Wǒ hěn è. Wǒ yào qù wàimiàn kǎoròu.	I'm hungry. I'm going outside to barbecue.

//Chinese With Mike/Season 3/Ch 74: Yao vs Xiang I
你要喝什么？	Nǐ yào hē shénme?	Do you want to drink something?
我要喝水。	Wǒ yào hē shuǐ.	I want to drink water.
你要去哪里？	Nǐ yào qù nǎlǐ?	Where are you going?
我要去外面。	Wǒ yào qù wàimiàn.	I'm going outside.
今天我很忙。	Jīntiān wǒ hěn máng.	Today I am busy.
为什么？	Wèishénme?	Why?
因为我要做很多事。	Yīnwèi wǒ yào zuò hěnduō shì.	Because I must do many things.
我要洗澡。	Wǒ yào xǐzǎo.	I must shower.
我要洗头发.	Wǒ yào xǐ tóu fǎ.	I must wash my hair.
我要洗脸。	Wǒ yào xǐliǎn.	I must wash my face.
我要洗手。	Wǒ yào xǐshǒu.	I must wash my hands.
